28
Consejería de Medio Ambiente Comunidad de Madrid
Alcalá 16
28001 MADRID
0230
28013002Aranjuez                                            40033277778N3591644444W501 11
2813300207080215052001.00V01.00V01.00V01.00V01.00V01.00V01.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2813300208080215052002.00V02.00V02.00V02.00V02.00V02.00V03.00V06.00V02.00V02.00V03.00V02.00V03.00V03.00V03.00V03.00V02.00V03.00V04.00V05.00V04.00V05.00V03.00V03.00V
28133002140602150520080.0V080.0V084.0V089.0V090.0V091.0V090.0V089.0V092.0V098.0V099.0V00100V00102V00103V00105V00106V00107V00109V00110V00108V00103V095.0V092.0V089.0V
2813300281890215052003.20V03.00V03.20V03.20V04.60V04.60V04.80V05.00V04.80V04.10V04.30V04.20V03.60V03.80V04.20V04.10V03.80V03.70V03.40V02.90V02.70V01.80V02.10V02.00V
2813300282890215052000284V00284V00281V00288V00285V00289V00285V00276V00279V00283V00287V00289V00295V00294V00301V00298V00298V00296V00308V00312V00313V00295V00296V00306V
2813300283890215052009.70V08.60V08.30V08.10V07.70V08.10V09.40V010.6V012.7V015.2V016.8V018.0V019.3V020.2V021.0V021.2V021.2V020.7V019.5V018.0V016.7V014.7V013.5V012.1V
28133002868902150520059.0V061.0V059.0V057.0V059.0V056.0V053.0V051.0V047.0V040.0V036.0V035.0V031.0V030.0V030.0V028.0V028.0V029.0V030.0V032.0V035.0V039.0V043.0V048.0V
2813300287890215052000939V00939V00939V00939V00939V00939V00940V00940V00940V00941V00941V00941V00941V00940V00940V00939V00940V00940V00940V00940V00941V00942V00943V00943V
2813300288890215052004.00V04.00V04.00V04.00V04.00V09.00V00125V00279V00407V00595V00696V00760V00775V00736V00661V00530V00356V00179V019.0V04.00V04.00V04.00V04.00V04.00V
2813300289890215052000.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2814800407080215052001.00V01.00V01.00V01.00V01.00V*****N*****N04.00V01.00V01.00V01.00V020.0V01.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2814800408080215052003.00V04.00V03.00V05.00V011.0V*****N*****N016.0V07.00V06.00V04.00V05.00V04.00V06.00V04.00V04.00V05.00V06.00V07.00V09.00V08.00V07.00V04.00V04.00V
2814800409490215052002.00V02.00V01.00V03.00V03.00V04.00V06.00V02.00V01.00V03.00V02.00V02.00V03.00V04.00V01.00V01.00V02.00V04.00V06.00V07.00V06.00V01.00V03.00V01.00V
2814800410490215052006.00V09.00V02.00V05.00V06.00V013.0V019.0V013.0V015.0V016.0V017.0V013.0V026.0V022.0V015.0V016.0V019.0V025.0V031.0V030.0V020.0V010.0V08.00V012.0V
28148004140602150520078.0V073.0V073.0V065.0V057.0V*****N*****N*****N076.0V081.0V088.0V090.0V094.0V097.0V00103V00104V00104V094.0V093.0V086.0V083.0V080.0V085.0V085.0V
2814800481890215052003.20V02.30V02.80V02.70V02.30V02.20V02.50V02.50V02.60V02.20V01.90V02.10V02.60V03.00V03.30V03.20V03.50V03.80V04.60V03.30V03.90V03.60V04.50V04.30V
28148004828902150520036.0V044.0V037.0V038.0V040.0V041.0V046.0V050.0V051.0V00140V070.0V00338V00281V00208V00213V00247V00211V00215V00195V00118V043.0V040.0V039.0V042.0V
2814800483890215052007.50V06.50V06.00V05.20V04.70V05.30V07.00V08.80V011.1V013.6V015.8V017.7V018.6V019.0V019.0V019.2V018.5V017.8V016.6V015.4V014.2V012.8V011.4V010.1V
28148004868902150520047.0V048.0V050.0V053.0V055.0V055.0V050.0V046.0V041.0V037.0V035.0V033.0V031.0V029.0V030.0V030.0V030.0V031.0V031.0V032.0V034.0V038.0V041.0V043.0V
2814800487890215052000934V00933V00933V00933V00933V00934V00934V00935V00936V00936V00937V00936V00936V00936V00935V00935V00935V00935V00935V00936V00936V00937V00938V00938V
2814800488890215052001.00V01.00V01.00V02.00V01.00V044.0V00205V00397V00581V00708V00875V00948V00969V00920V00833V00674V00474V00300V061.0V02.00V02.00V01.00V01.00V01.00V
2814800489890215052000.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2816100107080215052001.00V01.00V01.00V01.00V01.00V04.00V*****N*****N03.00V03.00V02.00V03.00V03.00V03.00V02.00V02.00V01.00V01.00V02.00V01.00V01.00V02.00V01.00V01.00V
2816100108080215052004.00V03.00V03.00V08.00V019.0V031.0V*****N*****N010.0V08.00V09.00V010.0V011.0V011.0V010.0V08.00V09.00V010.0V012.0V015.0V016.0V022.0V05.00V03.00V
2816100109490215052002.00V02.00V03.00V01.00V01.00V01.00V*****N010.0V011.0V09.00V06.00V032.0V07.00V021.0V06.00V05.00V05.00V014.0V016.0V012.0V04.00V05.00V04.00V03.00V
28161001140602150520081.0V084.0V081.0V073.0V058.0V041.0V*****N*****N080.0V083.0V087.0V092.0V097.0V00101V00105V00109V00109V00104V093.0V086.0V079.0V064.0V084.0V089.0V
2816100181890215052002.50V02.50V02.10V01.70V02.10V01.40V01.60V02.50V02.90V02.70V02.00V02.30V02.50V02.60V02.20V03.20V03.50V04.00V04.20V03.30V03.00V02.70V03.10V03.20V
2816100182890215052000101V00103V00110V00108V086.0V081.0V098.0V00102V00161V076.0V086.0V00351V00101V093.0V093.0V092.0V088.0V084.0V086.0V076.0V080.0V089.0V00103V00108V
2816100183890215052008.80V08.00V07.20V06.50V06.20V07.80V010.6V012.7V014.5V015.8V017.8V018.6V019.1V020.8V022.5V021.8V021.5V020.5V018.7V016.2V015.2V013.7V012.7V011.5V
28161001868902150520059.0V059.0V061.0V063.0V064.0V060.0V052.0V045.0V038.0V033.0V029.0V025.0V024.0V021.0V019.0V021.0V021.0V022.0V024.0V028.0V029.0V034.0V043.0V048.0V
2816100187890215052000950V00951V00951V00951V00951V00951V00952V00952V00952V00952V00952V00952V00951V00950V00950V00950V00950V00950V00951V00952V00952V00953V00954V00955V
2816100188890215052004.00V04.00V04.00V04.00V04.00V00106V00316V00518V00696V00844V00916V00963V00962V00883V00786V00613V00422V00170V067.0V06.00V04.00V04.00V04.00V04.00V
2816100189890215052000.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2817100101380215052001.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2817100106480215052000.30V00.30V00.30V00.30V00.30V00.20V00.20V00.30V00.40V00.20V00.40V00.30V00.30V00.30V00.20V00.20V00.20V00.20V00.30V00.30V00.40V00.30V00.30V00.30V
2817100107080215052001.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2817100108080215052004.00V04.00V04.00V04.00V04.00V05.00V04.00V03.00V03.00V03.00V03.00V03.00V02.00V02.00V02.00V02.00V02.00V03.00V03.00V03.00V04.00V05.00V05.00V04.00V
2817100109490215052006.00V04.00V02.00V04.00V05.00V03.00V04.00V08.00V08.00V016.0V012.0V014.0V014.0V09.00V08.00V010.0V011.0V013.0V014.0V013.0V011.0V012.0V010.0V08.00V
28171001104902150520014.0V016.0V013.0V012.0V013.0V012.0V018.0V015.0V017.0V019.0V017.0V025.0V027.0V026.0V026.0V024.0V030.0V025.0V018.0V016.0V011.0V014.0V016.0V015.0V
28171001140602150520072.0V071.0V068.0V067.0V067.0V058.0V069.0V078.0V083.0V088.0V094.0V096.0V097.0V099.0V00102V00101V00101V00102V00102V096.0V089.0V083.0V081.0V083.0V
2817100181890215052002.60V02.30V02.40V01.90V02.70V01.90V02.70V03.00V01.90V02.10V03.70V04.40V04.60V05.10V05.30V04.80V05.00V05.40V04.50V02.80V03.10V02.30V02.60V03.90V
2817100182890215052000236V00213V00220V064.0V085.0V032.0V035.0V034.0V061.0V081.0V00222V00239V00233V00233V00238V00238V00239V00242V00229V00119V021.0V063.0V033.0V055.0V
28171001838902150520010.5V09.80V08.50V07.80V07.30V06.80V010.1V012.2V014.9V016.9V018.6V019.5V020.2V020.9V021.0V021.2V020.9V020.6V019.6V017.6V015.5V014.0V013.1V013.0V
28171001868902150520056.0V059.0V063.0V065.0V065.0V070.0V056.0V047.0V039.0V034.0V029.0V026.0V024.0V022.0V021.0V021.0V022.0V023.0V025.0V028.0V032.0V037.0V040.0V041.0V
2817100187890215052000964V00964V00964V00964V00964V00964V00965V00965V00965V00965V00965V00965V00964V00964V00963V00963V00963V00963V00964V00965V00966V00966V00967V00968V
2817100188890215052001.00V01.00V01.00V01.00V02.00V084.0V00288V00476V00676V00751V00913V00958V00953V00899V00792V00613V00400V00274V091.0V06.00V01.00V01.00V01.00V01.00V
2817100189890215052000.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2818000107080215052001.00V01.00V01.00V01.00V01.00V02.00V03.00V02.00V01.00V02.00V01.00V01.00V01.00V02.00V01.00V01.00V01.00V01.00V02.00V01.00V01.00V01.00V01.00V01.00V
2818000108080215052002.00V02.00V01.00V01.00V03.00V06.00V08.00V07.00V06.00V06.00V05.00V05.00V06.00V04.00V05.00V04.00V05.00V06.00V08.00V03.00V03.00V02.00V01.00V01.00V
2818000109490215052006.00V07.00V08.00V08.00V05.00V05.00V05.00V05.00V03.00V02.00V07.00V06.00V03.00V02.00V06.00V08.00V012.0V07.00V05.00V06.00V07.00V07.00V08.00V05.00V
28180001140602150520076.0V080.0V080.0V079.0V075.0V072.0V067.0V069.0V076.0V078.0V087.0V088.0V089.0V093.0V094.0V00100V096.0V096.0V090.0V086.0V084.0V083.0V085.0V083.0V
2818000181890215052001.40V01.40V01.00V01.40V02.20V01.50V01.90V02.00V02.30V01.90V02.80V02.30V02.70V02.50V02.80V02.80V02.80V02.50V02.60V03.10V01.90V01.40V01.70V01.50V
2818000182890215052000106V00115V00119V00114V093.0V00111V00101V093.0V097.0V00102V088.0V095.0V097.0V070.0V089.0V080.0V095.0V00100V094.0V093.0V00109V00110V00124V00139V
2818000183890215052006.20V05.60V05.10V04.70V04.10V04.60V06.40V08.00V010.3V012.5V014.0V015.8V016.8V017.6V018.2V018.5V018.2V017.9V016.4V014.1V012.4V010.9V09.70V08.50V
28180001868902150520060.0V058.0V060.0V061.0V064.0V064.0V058.0V052.0V043.0V036.0V028.0V025.0V024.0V023.0V023.0V018.0V022.0V021.0V024.0V029.0V036.0V041.0V046.0V052.0V
2818000187890215052000926V00926V00926V00926V00926V00926V00927V00927V00927V00927V00927V00927V00927V00926V00926V00925V00926V00926V00926V00927V00928V00929V00929V00930V
2818000188890215052004.00V04.00V04.00V04.00V04.00V087.0V00305V00506V00691V00837V00936V00986V00972V00901V00753V00615V00434V00251V061.0V05.00V04.00V04.00V04.00V04.00V
2818000189890215052000.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2800500201380215052101.00V02.00V02.00V01.00V01.00V02.00V01.00V01.00V*****N*****N01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V02.00V01.00V01.00V01.00V01.00V
2800500206480215052100.20V00.20V00.20V00.20V00.20V00.30V00.30V00.20V*****N00.20V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V00.30V
2800500207080215052101.00V01.00V01.00V01.00V01.00V08.00V07.00V04.00V*****N*****N*****N03.00V03.00V03.00V03.00V03.00V03.00V03.00V03.00V03.00V02.00V01.00V01.00V01.00V
2800500208080215052107.00V012.0V010.0V010.0V019.0V033.0V025.0V014.0V*****N*****N*****N011.0V011.0V011.0V012.0V014.0V017.0V021.0V022.0V042.0V034.0V020.0V011.0V07.00V
28005002104902150521016.0V08.00V09.00V09.00V08.00V09.00V011.0V016.0V*****N*****N019.0V024.0V032.0V018.0V017.0V011.0V09.00V09.00V012.0V018.0V018.0V022.0V023.0V013.0V
28005002140602150521075.0V066.0V069.0V064.0V046.0V037.0V046.0V065.0V*****N082.0V*****N*****N096.0V099.0V00101V00101V097.0V092.0V095.0V075.0V076.0V078.0V081.0V085.0V
2800500281890215052103.50V02.80V02.80V02.10V01.70V02.30V02.80V03.70V04.00V04.30V04.10V03.90V03.80V03.80V03.50V03.30V03.50V03.60V03.80V02.80V03.00V04.10V03.90V03.40V
2800500282890215052100103V00102V00103V00102V00118V092.0V090.0V088.0V096.0V00100V096.0V096.0V095.0V00108V00108V00112V00105V099.0V086.0V098.0V00100V00106V00115V00112V
28005002838902150521011.0V010.2V09.50V08.40V07.60V08.10V09.80V011.5V013.2V014.4V016.1V017.3V018.6V019.9V020.6V021.2V021.3V020.9V019.6V017.9V016.2V013.9V012.1V011.1V
28005002868902150521049.0V053.0V056.0V062.0V067.0V065.0V057.0V049.0V041.0V035.0V030.0V026.0V022.0V019.0V017.0V015.0V018.0V020.0V022.0V024.0V028.0V037.0V042.0V044.0V
2800500287890215052100944V00944V00944V00944V00945V00945V00946V00946V00946V00946V00946V00945V00944V00943V00943V00942V00942V00942V00942V00943V00944V00945V00945V00945V
2800500288890215052104.00V04.00V04.00V04.00V04.00V065.0V00255V00470V00663V00808V00910V00966V00966V00908V00804V00539V063.0V070.0V05.00V04.00V04.00V04.00V04.00V04.00V
2800500289890215052100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2800600407080215052101.00V01.00V01.00V01.00V01.00V04.00V06.00V04.00V03.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V03.00V03.00V02.00V02.00V01.00V01.00V01.00V01.00V
2800600408080215052105.00V04.00V04.00V05.00V010.0V025.0V021.0V014.0V08.00V06.00V05.00V06.00V05.00V05.00V05.00V06.00V07.00V010.0V09.00V012.0V010.0V07.00V07.00V06.00V
2800600410490215052107.00V04.00V01.00V03.00V03.00V03.00V03.00V06.00V03.00V03.00V04.00V04.00V04.00V04.00V07.00V011.0V04.00V012.0V04.00V011.0V010.0V07.00V05.00V05.00V
28006004140602150521083.0V083.0V079.0V077.0V070.0V051.0V064.0V077.0V088.0V091.0V093.0V095.0V099.0V099.0V00102V00102V00102V00103V00101V094.0V099.0V089.0V082.0V080.0V
2800600420590215052100.60V00.60V00.60V00.60V00.60V00.60V00.60V00.60V00.60V00.60V00.50V00.60V00.60V00.80V00.60V00.50V00.60V00.60V00.60V00.60V00.60V00.60V00.60V00.60V
2800600430590215052100.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V00.50V
2800600431590215052100.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V00.70V
2800600442020215052105.70V05.60V05.60V05.60V05.80V05.90V05.80V05.70V05.70V05.60V05.60V05.60V05.60V05.70V05.70V05.60V05.40V05.70V05.70V05.70V05.70V05.70V05.70V05.70V
2800600444020215052100.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.20V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2800600481890215052102.20V02.40V01.90V02.10V01.90V02.10V02.20V02.30V03.10V02.40V02.30V02.10V01.70V02.20V01.90V02.20V02.30V02.80V03.30V02.30V02.90V04.10V03.40V03.00V
28006004828902150521069.0V068.0V070.0V086.0V087.0V082.0V069.0V072.0V086.0V070.0V056.0V072.0V068.0V091.0V081.0V077.0V09.00V041.0V042.0V061.0V065.0V077.0V084.0V083.0V
2800600483890215052109.60V08.80V07.80V07.10V06.60V06.90V08.10V09.70V011.6V013.3V015.0V016.8V018.4V020.2V021.2V022.0V021.0V021.9V020.4V018.1V015.8V013.6V011.2V09.80V
28006004868902150521063.0V065.0V070.0V072.0V073.0V071.0V066.0V060.0V053.0V048.0V044.0V040.0V035.0V031.0V030.0V029.0V026.0V027.0V030.0V035.0V039.0V048.0V056.0V061.0V
2800600487890215052100944V00944V00944V00944V00945V00945V00945V00946V00946V00946V00946V00945V00945V00944V00943V00943V00930V00942V00943V00943V00944V00945V00945V00945V
2800600488890215052105.00V05.00V05.00V05.00V05.00V05.00V053.0V00320V00540V00722V00868V00962V00986V00933V00828V00670V00464V00237V015.0V05.00V05.00V05.00V05.00V05.00V
2800600489890215052100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2800700407080215052101.00V01.00V01.00V01.00V01.00V02.00V06.00V07.00V05.00V04.00V03.00V03.00V03.00V03.00V02.00V02.00V02.00V02.00V02.00V02.00V02.00V01.00V01.00V01.00V
2800700408080215052106.00V04.00V06.00V08.00V015.0V027.0V032.0V026.0V019.0V014.0V012.0V012.0V012.0V012.0V010.0V09.00V010.0V014.0V022.0V026.0V026.0V017.0V09.00V07.00V
2800700409490215052103.00V01.00V01.00V02.00V05.00V01.00V03.00V07.00V020.0V07.00V010.0V08.00V019.0V014.0V05.00V04.00V01.00V02.00V01.00V02.00V05.00V03.00V01.00V01.00V
28007004140602150521088.0V090.0V087.0V086.0V079.0V065.0V061.0V071.0V080.0V087.0V093.0V095.0V00100V00103V00108V00110V00110V00105V096.0V086.0V086.0V091.0V090.0V088.0V
2800700481890215052102.30V02.80V02.40V02.10V02.00V02.00V02.10V02.40V02.50V02.10V02.10V02.00V02.00V02.00V02.00V01.60V01.50V01.60V02.10V02.30V02.40V02.70V02.50V02.90V
28007004828902150521096.0V097.0V089.0V090.0V093.0V097.0V084.0V091.0V093.0V075.0V094.0V00122V098.0V00106V036.0V027.0V085.0V00328V064.0V063.0V074.0V075.0V090.0V094.0V
28007004838902150521011.4V010.6V010.0V09.40V09.10V09.00V010.2V011.2V012.7V014.4V016.0V017.5V018.9V019.9V020.9V021.7V022.0V022.1V020.7V018.4V016.8V015.1V012.9V011.4V
28007004868902150521047.0V050.0V052.0V054.0V055.0V057.0V051.0V045.0V040.0V035.0V030.0V028.0V024.0V023.0V021.0V020.0V020.0V019.0V020.0V024.0V027.0V032.0V039.0V044.0V
2800700487890215052100947V00948V00948V00948V00948V00949V00949V00950V00951V00951V00952V00951V00950V00949V00949V00949V00948V00947V00948V00948V00948V00949V00949V00949V
2800700488890215052104.00V04.00V04.00V04.00V04.00V019.0V00169V00358V00544V00710V00837V00909V00925V00883V00781V00633V00455V00262V073.0V04.00V04.00V04.00V04.00V04.00V
2800700489890215052100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2800900107080215052101.00V01.00V01.00V01.00V01.00V01.00V01.00V02.00V01.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2800900108080215052102.00V02.00V02.00V02.00V02.00V06.00V06.00V05.00V03.00V02.00V02.00V02.00V02.00V03.00V04.00V04.00V04.00V04.00V04.00V04.00V04.00V02.00V02.00V02.00V
2800900109490215052102.00V01.00V01.00V01.00V03.00V03.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V02.00V057.0V015.0V05.00V01.00V
28009001140602150521077.0V074.0V072.0V071.0V068.0V064.0V066.0V071.0V079.0V082.0V082.0V084.0V086.0V087.0V088.0V090.0V092.0V093.0V094.0V091.0V086.0V079.0V075.0V074.0V
2800900181890215052106.20V05.30V04.50V02.90V03.40V03.00V03.60V03.50V04.20V04.70V03.90V03.80V03.50V03.40V03.20V03.30V04.10V04.40V04.90V04.70V05.30V06.20V06.00V06.40V
28009001828902150521044.0V052.0V056.0V040.0V046.0V041.0V030.0V040.0V042.0V044.0V045.0V054.0V047.0V046.0V033.0V00327V037.0V063.0V028.0V028.0V038.0V059.0V061.0V057.0V
2800900183890215052109.30V08.50V07.70V07.00V06.40V07.20V08.80V010.9V012.6V013.8V015.6V017.1V018.6V020.1V021.0V021.6V021.3V020.6V018.9V016.1V014.4V011.8V010.3V09.30V
28009001868902150521058.0V062.0V065.0V067.0V069.0V067.0V060.0V053.0V046.0V042.0V039.0V035.0V030.0V026.0V024.0V023.0V024.0V024.0V026.0V031.0V037.0V048.0V054.0V057.0V
2800900187890215052100941V00941V00941V00941V00942V00942V00943V00943V00943V00943V00943V00942V00942V00941V00940V00940V00940V00940V00940V00941V00942V00942V00942V00942V
2800900188890215052104.00V04.00V04.00V04.00V05.00V037.0V00194V00388V00582V00754V00887V00971V01001V00977V00898V00762V00572V00356V00167V017.0V04.00V04.00V04.00V04.00V
2800900189890215052100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2801300207080215052101.00V01.00V01.00V01.00V01.00V02.00V02.00V02.00V02.00V02.00V01.00V02.00V01.00V02.00V02.00V02.00V02.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V
2801300208080215052102.00V02.00V02.00V04.00V06.00V012.0V011.0V05.00V04.00V03.00V04.00V05.00V05.00V06.00V05.00V05.00V06.00V06.00V09.00V011.0V09.00V07.00V04.00V03.00V
28013002104902150521014.0V015.0V011.0V06.00V06.00V05.00V07.00V010.0V025.0V016.0V08.00V018.0V010.0V013.0V015.0V014.0V013.0V019.0V013.0V011.0V012.0V014.0V017.0V014.0V
28013002140602150521089.0V089.0V091.0V086.0V080.0V073.0V080.0V093.0V097.0V00100V00102V00103V00109V00113V00118V00120V00116V00113V00108V00100V096.0V093.0V092.0V090.0V
2801300281890215052102.80V02.80V03.10V02.00V01.80V01.60V02.90V04.60V04.40V04.10V03.50V03.10V03.70V03.40V03.20V03.40V03.10V03.00V02.10V01.80V02.00V02.00V03.10V03.40V
28013002828902150521050.0V059.0V055.0V045.0V054.0V052.0V048.0V049.0V039.0V056.0V029.0V040.0V027.0V031.0V024.0V039.0V022.0V046.0V049.0V060.0V074.0V059.0V056.0V057.0V
28013002838902150521012.6V011.6V011.1V010.1V09.20V09.00V010.7V012.3V013.7V015.0V016.4V017.8V019.1V020.0V021.1V021.9V022.1V022.2V022.2V020.5V017.9V016.1V014.9V013.0V
28013002868902150521050.0V052.0V053.0V057.0V060.0V061.0V055.0V047.0V042.0V037.0V034.0V031.0V026.0V024.0V021.0V018.0V020.0V020.0V020.0V025.0V028.0V033.0V038.0V043.0V
2801300287890215052100962V00963V00963V00963V00963V00964V00964V00965V00965V00965V00964V00963V00963V00962V00961V00961V00960V00960V00960V00960V00962V00963V00963V00964V
2801300288890215052104.00V04.00V04.00V04.00V04.00V085.0V00273V00480V00665V00818V00927V00978V00977V00922V00814V00666V00484V00290V00106V05.00V04.00V04.00V04.00V04.00V
2801300289890215052100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2801400207080215052101.00V01.00V01.00V01.00V02.00V05.00V03.00V03.00V03.00V04.00V02.00V03.00V02.00V02.00V04.00V02.00V01.00V02.00V01.00V01.00V01.00V01.00V01.00V01.00V
2801400208080215052102.00V02.00V03.00V03.00V013.0V027.0V020.0V015.0V011.0V011.0V010.0V010.0V09.00V09.00V015.0V09.00V09.00V010.0V010.0V010.0V011.0V07.00V03.00V03.00V
28014002104902150521010.0V015.0V07.00V09.00V011.0V012.0V013.0V014.0V013.0V017.0V013.0V016.0V015.0V014.0V017.0V016.0V013.0V012.0V011.0V012.0V019.0V013.0V012.0V010.0V
28014002140602150521080.0V079.0V081.0V080.0V070.0V063.0V071.0V076.0V079.0V080.0V084.0V086.0V092.0V098.0V095.0V097.0V097.0V095.0V095.0V096.0V090.0V084.0V077.0V076.0V
2801400281890215052104.10V03.60V04.00V02.80V02.60V03.10V04.80V06.30V06.00V05.30V05.40V04.90V05.60V05.10V04.70V04.10V03.60V03.70V04.30V04.50V03.40V04.20V04.20V03.10V
28014002828902150521047.0V050.0V043.0V039.0V030.0V033.0V031.0V031.0V034.0V035.0V038.0V066.0V053.0V041.0V037.0V033.0V041.0V038.0V037.0V049.0V046.0V041.0V036.0V041.0V
28014002838902150521010.5V09.70V09.20V08.80V08.00V08.80V010.0V011.1V012.6V014.2V015.5V017.2V018.0V019.5V020.6V021.2V021.6V021.6V020.5V017.9V015.9V014.1V012.1V010.8V
28014002868902150521051.0V053.0V054.0V055.0V057.0V056.0V051.0V046.0V042.0V038.0V032.0V026.0V024.0V019.0V018.0V018.0V017.0V020.0V022.0V025.0V028.0V035.0V043.0V046.0V
2801400287890215052100955V00955V00955V00955V00955V00956V00956V00956V00956V00956V00956V00955V00955V00954V00954V00953V00953V00953V00953V00954V00955V00955V00956V00956V
2801400288890215052104.00V04.00V04.00V04.00V04.00V068.0V00227V00423V00605V00762V00879V00947V00960V00922V00825V00684V00509V00296V00123V08.00V04.00V04.00V04.00V04.00V
2801400289890215052100.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V00.00V
2801600101380215052101.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V*****N*****N02.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2801600106480215052100.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V*****N00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
2801600107080215052101.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V*****N*****N01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V
2801600108080215052102.00V03.00V03.00V03.00V03.00V03.00V03.00V03.00V02.00V*****N*****N02.00V02.00V02.00V02.00V02.00V02.00V02.00V03.00V02.00V03.00V04.00V03.00V03.00V
2801600109490215052101.00V01.00V01.00V01.00V01.00V01.00V01.00V01.00V*****N02.00V03.00V02.00V01.00V03.00V08.00V010.0V09.00V05.00V02.00V01.00V03.00V02.00V01.00V01.00V
2801600110490215052104.00V04.00V05.00V03.00V05.00V010.0V05.00V05.00V013.0V025.0V010.0V03.00V02.00V014.0V010.0V012.0V04.00V08.00V06.00V07.00V03.00V010.0V02.00V05.00V
28016001140602150521089.0V091.0V090.0V087.0V090.0V086.0V084.0V082.0V084.0V*****N*****N*****N097.0V098.0V00100V00101V00105V00107V00107V00106V00102V094.0V088.0V085.0V
2801600120590215052100.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V00.10V
